tahun,perpustakaan,jumlah,tahun,perpustakaan,jumlah,tahun,perpustakaan,jumlah,tahun,perpustakaan,jumlah,tahun,perpustakaan,jumlah
2015,Cikini,72758.0,2016,Cikini,103341.0,2017,Cikini,83619.0,2018,Cikini,79114,2019,Cikini,62895
2015,Kuningan,13529.0,2016,Kuningan,68654.0,2017,Kuningan,53821.0,2018,Kuningan,5447,2019,Kuningan,45230
2015,PDS HB Jassin,0.0,2016,PDS HB Jassin,0.0,2017,PDS HB Jassin,0.0,2018,PDS HB Jassin,2749,2019,PDS HB Jassin,5319
2015,Perpustakaan Digital iJakarta,0.0,2016,Perpustakaan Digital iJakarta,0.0,2017,Perpustakaan Digital iJakarta,0.0,2018,Perpustakaan Digital iJakarta,20736,2019,Perpustakaan Digital iJakarta,21999
2015,Sudin Pusip Jakpus (Stationary),15108.0,2016,Sudin Pusip Jakpus (Stationary),91807.0,2017,Sudin Pusip Jakpus (Stationary),20411.0,2018,Sudin Pusip Jakpus (Stationary),23719,2019,Sudin Pusip Jakpus (Stationary),36767
2015,Sudin Pusip Jakpus (Pusling),24717.0,2016,Sudin Pusip Jakpus (Pusling),64336.0,2017,Sudin Pusip Jakpus (Pusling),105747.0,2018,Sudin Pusip Jakpus (Pusling),154044,2019,Sudin Pusip Jakpus (Pusling),196689
2015,Sudin Pusip Jakpus (RPTRA),0.0,2016,Sudin Pusip Jakpus (RPTRA),43152.0,2017,Sudin Pusip Jakpus (RPTRA),0.0,2018,Sudin Pusip Jakpus (RPTRA),219972,2019,Sudin Pusip Jakpus (RPTRA),357184
2015,Sudin Pusip Jaktim (Stationary),13211.0,2016,Sudin Pusip Jaktim (Stationary),17755.0,2017,Sudin Pusip Jaktim (Stationary),2877.0,2018,Sudin Pusip Jaktim (Stationary),22891,2019,Sudin Pusip Jaktim (Stationary),29159
2015,Sudin Pusip Jaktim (Pusling),47509.0,2016,Sudin Pusip Jaktim (Pusling),46829.0,2017,Sudin Pusip Jaktim (Pusling),46985.0,2018,Sudin Pusip Jaktim (Pusling),135195,2019,Sudin Pusip Jaktim (Pusling),279240
2015,Sudin Pusip Jaktim (RPTRA),0.0,2016,Sudin Pusip Jaktim (RPTRA),101456.0,2017,Sudin Pusip Jaktim (RPTRA),0.0,2018,Sudin Pusip Jaktim (RPTRA),39194,2019,Sudin Pusip Jaktim (RPTRA),363273
2015,Sudin Pusip Jakbar (Stationary),28384.0,2016,Sudin Pusip Jakbar (Stationary),26211.0,2017,Sudin Pusip Jakbar (Stationary),32509.0,2018,Sudin Pusip Jakbar (Stationary),47328,2019,Sudin Pusip Jakbar (Stationary),45374
2015,Sudin Pusip Jakbar (Pusling),0.0,2016,Sudin Pusip Jakbar (Pusling),53413.0,2017,Sudin Pusip Jakbar (Pusling),66570.0,2018,Sudin Pusip Jakbar (Pusling),237715,2019,Sudin Pusip Jakbar (Pusling),234853
2015,Sudin Pusip Jakbar (RPTRA),0.0,2016,Sudin Pusip Jakbar (RPTRA),142919.0,2017,Sudin Pusip Jakbar (RPTRA),0.0,2018,Sudin Pusip Jakbar (RPTRA),511065,2019,Sudin Pusip Jakbar (RPTRA),461598
2015,Sudin Pusip Jaksel (Stationary),18956.0,2016,Sudin Pusip Jaksel (Stationary),25662.0,2017,Sudin Pusip Jaksel (Stationary),28923.0,2018,Sudin Pusip Jaksel (Stationary),28955,2019,Sudin Pusip Jaksel (Stationary),34063
2015,Sudin Pusip Jaksel (Pusling),18690.0,2016,Sudin Pusip Jaksel (Pusling),25040.0,2017,Sudin Pusip Jaksel (Pusling),57755.0,2018,Sudin Pusip Jaksel (Pusling),683,2019,Sudin Pusip Jaksel (Pusling),165535
2015,Sudin Pusip Jaksel (RPTRA),0.0,2016,Sudin Pusip Jaksel (RPTRA),42385.0,2017,Sudin Pusip Jaksel (RPTRA),0.0,2018,Sudin Pusip Jaksel (RPTRA),475141,2019,Sudin Pusip Jaksel (RPTRA),459210
2015,Sudin Pusip Jakut (Stationary),18548.0,2016,Sudin Pusip Jakut (Stationary),43966.0,2017,Sudin Pusip Jakut (Stationary),22027.0,2018,Sudin Pusip Jakut (Stationary),37791,2019,Sudin Pusip Jakut (Stationary),32717
2015,Sudin Pusip Jakut (Pusling),20609.0,2016,Sudin Pusip Jakut (Pusling),40712.0,2017,Sudin Pusip Jakut (Pusling),77320.0,2018,Sudin Pusip Jakut (Pusling),109919,2019,Sudin Pusip Jakut (Pusling),107136
2015,Sudin Pusip Jakut (RPTRA),0.0,2016,Sudin Pusip Jakut (RPTRA),21298.0,2017,Sudin Pusip Jakut (RPTRA),0.0,2018,Sudin Pusip Jakut (RPTRA),691603,2019,Sudin Pusip Jakut (RPTRA),534462
2015,Sudin Pusip Pulau 1000 (Stationary),8579.0,2016,Sudin Pusip Pulau 1000 (Stationary),48376.0,2017,Sudin Pusip Pulau 1000 (Stationary),58916.0,2018,Sudin Pusip Pulau 1000 (Stationary),65658,2019,Sudin Pusip Pulau 1000 (Stationary),51743
2015,Sudin Pusip Pulau 1000 (RPTRA),0.0,2016,Sudin Pusip Pulau 1000 (RPTRA),6200.0,2017,Sudin Pusip Pulau 1000 (RPTRA),0.0,2018,Sudin Pusip Pulau 1000 (RPTRA),136589,2019,Sudin Pusip Pulau 1000 (RPTRA),147097
2015,Permata 1,7549.0,2016,Permata 1,11161.0,2017,Permata 1,18139.0,2018,Permata 1,9778,2019,Permata 1,6623
2015,Permata 2,3819.0,2016,Permata 2,10779.0,2017,Permata 2,18223.0,2018,Permata 2,10538,2019,Permata 2,10524
